target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__C,param_regressor__model__epsilon,param_regressor__model__kernel,param_regressor__model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,1.9454394817352294,0.07138073799279389,0.20017709732055664,0.026923411005165748,10.0,0.1,rbf,scale,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-22.15610637326806,-20.10491613623776,-20.794842957665754,-23.23109746524633,-22.245407230981293,-21.706474032679843,1.1147334890145186,9
identity,1.1454481124877929,0.040325793245081495,0.12140827178955078,0.018336212627658256,10.0,0.5,rbf,scale,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-25.00643417920673,-23.46043907696473,-24.269109443302895,-25.617705606486783,-24.929781291624256,-24.65669391951708,0.7350762952342725,19
identity,0.7140920639038086,0.04492140474300885,0.06048040390014649,0.003561046565890251,10.0,1.0,rbf,scale,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-33.10406737170537,-32.44808374679587,-33.12465202004052,-33.175342273945425,-32.78188921496408,-32.926806925490254,0.2765902352958706,29
identity,11.018209075927734,0.3373342047336836,0.20585885047912597,0.01627947204059864,100.0,0.1,rbf,scale,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-22.880033665281328,-20.857599734428405,-21.67648164930199,-23.987695745567546,-23.185444784635866,-22.517451115843027,1.1136998850656874,10
identity,6.434549713134766,0.3594645585158148,0.11762642860412598,0.009561329109888096,100.0,0.5,rbf,scale,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-25.40195222539671,-23.9118836736428,-24.968948516493718,-26.141802391751796,-25.47531126036912,-25.17997961353083,0.7367763725072437,20
identity,4.202873039245605,0.3440662898161877,0.06346325874328614,0.003758034662889107,100.0,1.0,rbf,scale,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-33.07849252766329,-32.518364772868196,-33.65509172466166,-33.21138318182416,-32.93470116971867,-33.07960667534719,0.37001065109764364,30
log1p,0.9439443111419678,0.03405366590692184,0.09648585319519043,0.003845677334379715,0.1,0.1,linear,,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-21.570912860550983,-19.657141073773733,-20.245947720129035,-22.876809293671492,-21.841139666201748,-21.2383901228654,1.1526999818111774,2
log1p,0.696366262435913,0.0627762860399593,0.07042107582092286,0.003431556015276056,0.1,0.5,linear,,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-21.630178792898047,-19.720391685026872,-20.332845244972287,-22.885181545231436,-21.86566039705241,-21.28685153303621,1.1288468974491532,13
log1p,0.3950978755950928,0.014837082775028796,0.04347729682922363,0.0059676124570450274,0.1,1.0,linear,,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-22.169033777708737,-20.372594901224577,-20.97837289822294,-23.260877385148063,-22.3126986402534,-21.818715520511542,1.024110698712719,19
log1p,1.4316014766693115,0.03155911561394324,0.10174732208251953,0.012046375066596818,0.5,0.1,linear,,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-21.570962345184707,-19.6574281871959,-20.245910738624197,-22.87703583269054,-21.841047927570877,-21.23847700625324,1.1526852482265229,3
