target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__C,param_regressor__model__epsilon,param_regressor__model__kernel,param_regressor__model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
log1p,0.7211346626281738,0.06658854176220842,0.055146408081054685,0.0060843068110803845,0.5,1.0,linear,,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-50.25197301468194,-48.5946593429728,-48.92187004583496,-49.64049151790641,-46.708144125014975,-48.82342760928221,1.2037263358308081,22
log1p,1.873033380508423,0.09117550023163004,0.1267855644226074,0.0037469300924612443,1.0,0.1,linear,,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-50.08211390913569,-48.331023767195454,-48.69546138634641,-49.29751039527091,-46.185167051660045,-48.518255301921705,1.3086367464907938,7
log1p,1.422350025177002,0.046120954644801884,0.08882231712341308,0.00571643932846083,1.0,0.5,linear,,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-50.05673852737616,-48.38494165207215,-48.73854330780126,-49.27641089661046,-46.244191638616556,-48.54016520449532,1.2788272128121227,11
log1p,0.8726625919342041,0.057848483148182674,0.05101938247680664,0.003949311692880018,1.0,1.0,linear,,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-50.251768184888306,-48.594806421827855,-48.92022588511984,-49.63020122310883,-46.704975427557464,-48.820395428500454,1.2033679149038883,19
log1p,6.785929155349732,0.4230214312047926,0.15684523582458496,0.016106936363822863,10.0,0.1,linear,,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-50.08289465770574,-48.34643014314075,-48.69546176527104,-49.29191173337891,-46.18309483293302,-48.51995862648589,1.3084744179998962,8
log1p,5.687918853759766,0.5244391763618738,0.10371236801147461,0.015347123055516552,10.0,0.5,linear,,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-50.0566230112851,-48.389099523419745,-48.74310337853076,-49.27103605924899,-46.24281085704725,-48.54053456590637,1.2787226082447252,13
log1p,3.66914587020874,0.34578342328706724,0.055688667297363284,0.004512840618428501,10.0,1.0,linear,,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-50.24685151552142,-48.60744496804182,-48.91701649555721,-49.62449959573331,-46.70297130922889,-48.81975677681653,1.2016261374206392,18
log1p,43.84099707603455,0.7672327897795503,0.13026928901672363,0.009491471844161464,100.0,0.1,linear,,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-50.08245889412158,-48.345221477639775,-48.69636323616719,-49.29341925849622,-46.183420992276034,-48.52017677174016,1.3084882858686457,9
log1p,32.94393439292908,0.29016701513891946,0.1010373592376709,0.004597195182241516,100.0,0.5,linear,,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-50.05699819024076,-48.39683107399456,-48.74474506273983,-49.27062116042856,-46.241906359213836,-48.54222036932351,1.2789619543185604,14
log1p,17.871607971191406,0.27163805154321513,0.058308982849121095,0.004489777112346459,100.0,1.0,linear,,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-50.24581159401447,-48.609775732388734,-48.918633168234955,-49.62455221740994,-46.70351581954472,-48.82045770631856,1.2011386227556073,20
